,s1_1,s2_1,s1_2,s2_2,s1_3,s2_3
78,,1.2939699699699698,2.2222222222222223,2.223222222222222,,1.8543903903903902
79,,1.285963963963964,2.2182182182182184,2.2192182182182183,,1.8503873873873873
80,,1.2779579579579579,2.214214214214214,2.215214214214214,,1.8463843843843843
81,,1.2699519519519518,2.21021021021021,2.21121021021021,,1.8423813813813812
82,,1.261945945945946,2.206206206206206,2.207206206206206,,1.8383783783783783
83,,1.2539399399399398,2.2022022022022023,2.203202202202202,,1.8343753753753753
84,,1.2419309309309308,2.1981981981981984,2.1991981981981983,,1.8303723723723722
85,,1.233924924924925,2.194194194194194,2.195194194194194,,1.8223663663663663
86,,1.2259189189189188,2.19019019019019,2.19119019019019,,1.8183633633633633
87,,1.2179129129129127,2.186186186186186,2.187186186186186,,1.8143603603603602
88,,1.205903903903904,2.1821821821821823,2.183182182182182,,1.8103573573573573
89,,1.1978978978978978,2.178178178178178,2.179178178178178,,1.8063543543543543
90,0.0,1.1858888888888888,2.174174174174174,2.175174174174174,,1.8023513513513512
91,0.0,1.1778828828828827,2.17017017017017,2.17117017017017,,1.7983483483483482
92,0.012012012012012012,1.1664049334619906,2.166166166166166,2.167166166166166,,1.7903423423423421
93,0.024024024024024024,1.1550472244015788,2.1621621621621623,2.163162162162162,,1.7863393393393392
94,0.04004004004004004,1.1466955243531822,2.158158158158158,2.159158158158158,,1.7823363363363363
95,0.05205205205205205,1.1355983360738116,2.154154154154154,2.155154154154154,,1.7783333333333333
96,0.06806806806806806,1.1236123701278855,2.15015015015015,2.15115015015015,,1.7743303303303302
97,0.08008008008008008,1.1127877266656048,2.146146146146146,2.147146146146146,,1.7703273273273272
98,0.0960960960960961,1.0972396390384378,2.1421421421421423,2.143142142142142,,1.7623213213213211
99,0.11211211211211211,1.0858067787507226,2.138138138138138,2.139138138138138,,1.7583183183183182
100,0.12412412412412413,1.0715402539676815,2.134134134134134,2.135134134134134,,1.7543153153153153
101,0.14014014014014015,1.0604681147614081,2.13013013013013,2.13113013013013,,1.750312312312312
102,0.16016016016016016,1.0449771403034667,2.126126126126126,2.127126126126126,,1.7463093093093092
103,0.17617617617617617,1.0305192319446574,2.1221221221221223,2.123122122122122,,1.7383033033033033
104,0.1961961961961962,1.015617435253071,2.118118118118118,2.119118118118118,,1.7343003003003001
105,0.2122122122122122,0.9978619340060781,2.114114114114114,2.115114114114114,,1.7302972972972972
106,0.23223223223223222,0.9797988168348528,2.11011011011011,2.11111011011011,,1.7262942942942943
107,0.25225225225225223,0.9620964207450694,2.106106106106106,2.107106106106106,,1.722291291291291
108,0.27627627627627627,0.9443108574039505,2.1021021021021022,2.103102102102102,,1.7142852852852852
109,0.3003003003003003,0.9233038534029524,2.098098098098098,2.0990980980980978,,1.710282282282282
110,0.32432432432432434,0.8991475529583638,2.094094094094094,2.095094094094094,,1.7062792792792791
111,0.35235235235235235,0.8753449585721857,2.09009009009009,2.09109009009009,,1.7022762762762762
112,0.3843843843843844,0.8485183171159147,2.086086086086086,2.087086086086086,,1.69427027027027
113,0.42042042042042044,0.8154582119657194,2.0820820820820822,2.083082082082082,,1.6902672672672672
114,0.46446446446446443,0.7732768684600516,2.078078078078078,2.0790780780780778,,1.6862642642642642
115,0.5245245245245245,0.7168119631142653,2.074074074074074,2.075074074074074,,1.682261261261261
116,0.6206206206206206,0.6216206206206206,2.07007007007007,2.07107007007007,,1.6782582582582581
117,0.6166166166166166,0.6176166166166166,2.066066066066066,2.067066066066066,,1.670252252252252
118,0.6166166166166166,0.6176166166166166,2.062062062062062,2.063062062062062,,1.666249249249249
119,0.6126126126126126,0.6136126126126126,2.058058058058058,2.0590580580580577,,1.6622462462462462
120,0.6086086086086087,0.6096086086086087,2.054054054054054,2.055054054054054,,1.65424024024024
121,0.6086086086086087,0.6096086086086087,2.05005005005005,2.05105005005005,,1.6502372372372371
122,0.6046046046046046,0.6056046046046046,2.046046046046046,2.047046046046046,,1.6462342342342342
123,0.6006006006006006,0.6016006006006006,2.042042042042042,2.043042042042042,,1.642231231231231
124,0.6006006006006006,0.6016006006006006,2.038038038038038,2.0390380380380377,,1.6342252252252252
125,0.5965965965965966,0.5975965965965966,2.034034034034034,2.035034034034034,,1.630222222222222
126,0.5925925925925926,0.5935925925925926,2.034034034034034,2.035034034034034,,1.626219219219219
127,0.5885885885885885,0.5895885885885885,2.03003003003003,2.03103003003003,,1.6182132132132132
128,0.5885885885885885,0.5895885885885885,2.026026026026026,2.027026026026026,,1.61421021021021
129,0.5845845845845846,0.5855845845845846,2.022022022022022,2.023022022022022,,1.6102072072072071
130,0.5805805805805806,0.5815805805805806,2.018018018018018,2.0190180180180177,,1.602201201201201
131,0.5765765765765766,0.5775765765765766,2.014014014014014,2.015014014014014,,1.598198198198198
132,0.5725725725725725,0.5735725725725725,2.01001001001001,2.01101001001001,,1.5941951951951951
133,0.5725725725725725,0.5735725725725725,2.006006006006006,2.007006006006006,,1.586189189189189
134,0.5685685685685685,0.5695685685685685,2.002002002002002,2.003002002002002,,1.5821861861861861
135,0.5645645645645646,0.5655645645645646,1.997997997997998,1.998997997997998,,1.57418018018018
136,0.5605605605605606,0.5615605605605606,1.993993993993994,1.9949939939939938,,1.570177177177177
